d;h;l;c;o;v
2002-08-06;511,71;487,73;506,24;495,1;240299507
2002-08-07;521,98;505,53;506,78;507,69;175483178
2002-08-08;522,36;511,37;518,27;511,37;207851249
2002-08-09;527,57;510,58;517,33;522,28;185141119
2002-08-12;523,74;516,45;519,95;516,81;173466881
2002-08-13;520,28;509,85;519,62;520,28;163272804
2002-08-14;516,41;504,52;509,88;516,41;172089835
2002-08-15;524,15;513,24;523,04;515,8;496264282
2002-08-16;526,28;511,74;519,0;523,12;263041600
2002-08-19;524,56;506,54;523,19;517,79;315982191
2002-08-20;525,74;517,35;522,48;522,4;392071997
2002-08-21;550,29;524,73;537,84;524,73;547940422
2002-08-22;564,85;544,49;564,14;544,49;417707908
2002-08-23;561,28;545,26;546,55;561,28;374589243
2002-08-26;553,92;534,22;537,95;544,05;315001829
2002-08-27;545,28;534,18;539,06;535,6;415026791
2002-08-28;537,55;527,36;529,81;537,55;492958087
2002-08-29;527,62;517,38;523,26;526,67;532105938
2002-08-30;529,61;514,88;525,83;526,26;305242306
2002-09-02;526,68;520,12;523,54;523,34;146343419
2002-09-03;521,19;501,04;503,26;518,83;239467677
2002-09-04;506,22;497,1;503,32;500,72;243658343
2002-09-05;510,61;493,04;501,81;506,3;270063601
2002-09-06;517,26;502,99;513,18;502,99;303228571
2002-09-09;516,35;506,35;510,37;511,82;155543679
2002-09-10;519,48;510,4;515,95;512,27;289308457
2002-09-11;532,8;513,68;532,71;516,36;191589425
2002-09-12;529,48;517,85;518,53;529,48;215133328
2002-09-13;517,22;504,26;511,8;516,15;208780453
2002-09-16;515,49;508,32;510,54;510,2;169297096
2002-09-17;520,67;504,14;505,36;514,69;340042271
2002-09-18;503,67;484,35;485,79;503,21;255885788
2002-09-19;489,59;474,12;478,84;484,2;279259463
2002-09-20;487,86;474,28;475,64;477,05;308067368
2002-09-23;480,1;454,68;455,92;476,43;209364672
2002-09-24;456,89;433,62;451,83;453,74;287320829
2002-09-25;466,88;449,46;459,6;453,15;265081344
2002-09-26;482,41;462,7;480,95;462,7;400593859
2002-09-27;484,68;470,6;474,69;481,69;309446387
2002-09-30;470,44;440,02;445,65;470,44;309142754
2002-10-01;453,55;441,6;453,29;448,39;323658448
2002-10-02;469,4;451,79;463,66;460,21;294959207
